_ID,product_name,solution_family,product_type,parent_product,product_page_settings,linked_product_page,product_description,product_bullet_list,product_logo,white_product_logo,product_logo_endorsed,white_product_logo_endorsed,product_icon,white_product_icon,cct_author_id,cct_created,cct_modified
"31","Wild Apricot","12","active","","show","10955","Membership software that lets small-staff organizations get started for free and run their entire program from one place","Array","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-White.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-Color-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Logo-White-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Icon-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-WildApricot-Icon-White.svg","7","2026-06-05 16:03:41","2026-06-18 12:19:02"
"30","ThreeSixty","12","active","","show","10980","Highly configurable AMS that connects membership, financials, and events in one place—adaptable enough to fit how your organization actually works","Array","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-White.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-Color-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Logo-White-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Icon-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-ThreeSixty-Icon-White.svg","7","2026-06-05 15:59:19","2026-06-05 18:52:37"
"29","A2Z Events","14","active","","show","10989","Conference and trade show software to deliver better experiences for attendees, exhibitors, and sponsors, while driving more event revenue","Array","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-White.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-Color-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Logo-White-by-MS.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Icon-Color.svg","https://momentivesoftware.com/wp-content/uploads/2026/06/Momentive-A2Z-Events-Icon-White.svg","7","2026-06-05 15:58:18","2026-06-05 20:19:49"
"28","YourMembershipAMS","12","active","","show","10368","All-in-one AMS for small-staff associations to manage members, build community, and grow non-dues revenue in one platform","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/YMAMS-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMAMS-Momentive-Logo-Color-by-MS-scaled.png","","https://momentivesoftware.com/wp-content/uploads/2025/12/YourMembership-Icon.svg","","7","2026-02-27 15:00:55","2026-06-18 15:22:32"
"27","YM Careers Network","16","active","","hide","6540","Career center platform connecting associations with members through jobs, career tools, and employer services.","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMC-Network-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMC-Network-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/YMC-Network-Momentive-Icon-Color.svg","","7","2026-02-27 14:59:14","2026-06-05 15:51:54"
"26","YM Careers","16","active","","show","8192","Career center software to connect members with employers, earn revenue from job postings, and build your reputation in your field","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/YMCareers-Momentive-Logo-Color-by-MS-2.svg","","https://momentivesoftware.com/wp-content/uploads/2025/01/YMCareers-Momentive-Logo-Color-by-MS-black.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/YMCareers-Icon-Color.svg","","7","2026-02-27 14:57:31","2026-06-05 20:15:37"
"25","VolunteerMatters","88","active","","show","10401","Volunteer management software for nonprofits and associations to recruit, engage, and retain volunteers—and scale programs without adding staff ","Array","https://momentivesoftware.com/wp-content/uploads/2025/10/VolunteerMatters-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/VolunteerMatters-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/VolunteerMatters-Icon.svg","","7","2026-02-27 14:55:29","2026-06-05 20:16:52"
"24","TripBuilder","14","orphaned","","hide","3087","Branded mobile apps for events, meetings, and member engagement.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-tripbuilder.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/TripBuilder-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/TripBuilder-Momentive-Icon-Color.svg","","7","2026-02-27 14:54:30","2026-06-05 15:52:35"
"23","Path eClinical","15","sub-product","Path LMS","hide","264","End-to-end virtual event and continuing education platform for associations and professionals.","","","","https://momentivesoftware.com/wp-content/uploads/2025/11/Path-eClinical.svg","","","","7","2026-02-27 14:53:33","2026-06-05 15:52:45"
"22","Path LMS","15","active","","show","10398","Learning management software to launch polished courses, automate CE tracking, and turn education into revenue","Array","https://momentivesoftware.com/wp-content/uploads/2025/01/PathLMS-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2025/01/PathLMS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/PathLMS-Icon.svg","","7","2026-02-27 14:52:39","2026-06-05 20:17:42"
"21","Nucleus Analytics","17","active","","hide","7299","","","https://momentivesoftware.com/wp-content/uploads/2025/02/Nucleus-Momentive-Logo-Color-by-MS-1.svg","","https://momentivesoftware.com/wp-content/uploads/2025/10/Nucleus-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Nucleus-Momentive-Icon-Color.svg","","7","2026-02-27 14:51:33","2026-06-05 15:52:56"
"20","NimbleAMS","12","active","","show","10388","Salesforce-based AMS that surfaces member insights, automates renewals, and puts AI to work for complex associations","Array","https://momentivesoftware.com/wp-content/uploads/2025/01/product-NimbleAMS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/NimbleAMS-logo.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/NimbleAMS-Icon.svg","","7","2026-02-27 14:50:33","2026-06-18 15:24:22"
"19","NetForumAMS","12","active","","show","10389","AMS for mid-size associations that need full membership, events, and reporting capability—and a faster, lower-risk path to go-live","Array","https://momentivesoftware.com/wp-content/uploads/2026/02/NetForumAMS-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/NetForumAMS-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/NetForum-Icon.svg","","7","2026-02-27 14:49:24","2026-06-18 15:24:27"
"18","MomentiveIQ","","active","","hide","7299","Unified platform with SSO, AI-driven insights, and deep analytics across your tech stack.","","https://momentivesoftware.com/wp-content/uploads/2026/02/MomentiveIQ-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/MomentiveIQ-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/MomentiveIQ-Icon.svg","","7","2026-02-27 14:48:15","2026-06-05 15:53:15"
"17","Momentive Event Management Software","14","active","","hide","267","","","https://momentivesoftware.com/wp-content/uploads/2026/02/Momentive-Event-Management-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Momentive-Event-Management-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/Event-Management-Icon.svg","","7","2026-02-27 14:46:20","2026-06-05 15:53:28"
"16","Momentive Certification Management","163","active","","show","5309","Certification and credentialing software to automate CE tracking, manage renewals, and keep your program audit-ready—without manual transfers between systems","Array","https://momentivesoftware.com/wp-content/uploads/2026/02/Momentive-Certification-Management-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Momentive-Certification-Management-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Momentive-Certification-Management-Icon-Color.svg","","7","2026-02-27 14:44:17","2026-06-05 20:18:14"
"15","MIP Fundraising50","18","sub-product","MIP","hide","263","Nonprofit fund accounting software for secure, compliant financial management.","","","","https://momentivesoftware.com/wp-content/uploads/2025/11/MIP-Fundraising-50-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/MIP-Icon.svg","","7","2026-02-27 14:40:28","2026-06-05 15:53:41"
"14","MIP Millenium","18","sub-product","MIP","hide","263","Nonprofit fund accounting software for secure, compliant financial management.","","","","https://momentivesoftware.com/wp-content/uploads/2025/11/MIP-Millenium-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/MIP-Icon.svg","","7","2026-02-27 14:39:36","2026-06-05 15:53:48"
"13","MIP Accounting","18","active","","show","8200","Accounting software built for nonprofits and municipalities: fund structures, grant compliance, and board reporting without the workarounds ","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/MIP-Momentive-Logo-White-by-MS-orange.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/MIP-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/MIP-Icon.svg","","7","2026-02-27 14:38:44","2026-06-05 20:19:31"
"12","GiveSmart DonorCRM","195","sub-product","GiveSmart","hide","7582","Fundraising and donor engagement platform for events, giving campaigns, and year-round stewardship.","","https://momentivesoftware.com/wp-content/uploads/2025/11/GiveSmart_Donor-CRM.svg","","","","https://momentivesoftware.com/wp-content/uploads/2025/12/GiveSmart-Icon.svg","","7","2026-02-27 14:37:35","2026-06-05 15:54:04"
"11","GiveSmart Fundraise","13","sub-product","GiveSmart","hide","8195","Fundraising and donor engagement platform for events, giving campaigns, and year-round stewardship.","","https://momentivesoftware.com/wp-content/uploads/2025/11/GiveSmart_Fundraise.svg","","","","https://momentivesoftware.com/wp-content/uploads/2025/12/GiveSmart-Icon.svg","","7","2026-02-27 14:35:12","2026-06-05 15:54:09"
"10","GiveSmart Events","13","sub-product","GiveSmart","hide","8195","Fundraising and donor engagement platform for events, giving campaigns, and year-round stewardship.","","https://momentivesoftware.com/wp-content/uploads/2025/11/GiveSmart_Events.svg","","","","https://momentivesoftware.com/wp-content/uploads/2025/12/GiveSmart-Icon.svg","","7","2026-02-27 14:34:24","2026-06-05 15:54:16"
"9","GiveSmart","13","active","","show","8195","Fundraising software that drives more bids, more gifts, and stronger donor data—across events, campaigns, and everything in between","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/GiveSmart-Momentive-Logo-Color-by-MS-2.svg","","https://momentivesoftware.com/wp-content/uploads/2025/01/logo-givesmart.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/GiveSmart-Icon.svg","https://momentivesoftware.com/wp-content/uploads/2025/12/GiveSmart-Icon-White.svg","7","2026-02-27 14:33:21","2026-06-05 20:19:16"
"8","Freestone","15","active","","hide","264","Speaker, session, and abstract management software for seamless conference planning.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-Freestone-Momentive-Logo-Color-by-MS-2.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Freestone-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Freestone-Momentive-Icon-Color.svg","","7","2026-02-27 14:30:10","2026-06-05 15:54:24"
"7","ExpoLogic","14","orphaned","","hide","3088","Event registration and onsite check-in solutions designed to streamline the attendee experience.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-expologic.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Expo-Logic-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Expo-Logic-Momentive-Icon-Color.svg","","7","2026-02-27 14:28:05","2026-06-05 15:54:33"
"6","Crowd Wisdom","15","active","","hide","264","Speaker, session, and abstract management software for seamless conference planning.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-Crowd-Wisdom-Momentive-Logo-Color-by-MS-2-1.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Crowd-Wisdom-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Crowd-Wisdom-Momentive-Icon-Color.svg","","7","2026-02-27 14:26:34","2026-06-05 15:54:38"
"5","Core-Apps","14","orphaned","","hide","3086","Mobile event app and onsite engagement tools for conferences and trade shows.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-core-apps-1.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Core-Apps-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Core-Apps-Momentive-Icon-Color.svg","","7","2026-02-27 14:25:09","2026-06-05 15:54:42"
"4","Configio","14","active","","hide","267","Configurable registration, learning, and commerce platform for events and education programs.","","https://momentivesoftware.com/wp-content/uploads/2025/01/Configio-Momentive-Logo-Color-by-MS-2.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Configio-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/Configio-Icon.svg","","7","2026-02-27 14:21:45","2026-06-05 15:54:47"
"3","CobaltAMS","12","active","","show","10399","AMS built on Microsoft Dynamics 365 to manage membership, certification, and reporting in one enterprise-grade platform ","Array","https://momentivesoftware.com/wp-content/uploads/2026/02/CobaltAMS-Momentive-Logo-Color.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/CobaltAMS-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/Cobalt-Icon.svg","","7","2026-02-27 14:19:42","2026-06-18 15:24:53"
"2","Attendee Interactive","14","orphaned","","hide","3089","Speaker, session, and abstract management software for seamless conference planning.","","https://momentivesoftware.com/wp-content/uploads/2025/01/product-attendee.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Attendee-Interactive-Momentive-Logo-Color-by-MS.svg","","https://momentivesoftware.com/wp-content/uploads/2026/02/Attendee-Interactive-Momentive-Icon-Color.svg","","7","2026-02-27 14:17:00","2026-06-05 15:54:58"
"1","Aptify","12","active","","show","10387","Enterprise AMS for large, global associations that need deep configurability, complex financial management, and the flexibility to build what's next ","Array","https://momentivesoftware.com/wp-content/uploads/2025/02/Aptify-Momentive-Logo-Color-by-MS-2.svg","","https://momentivesoftware.com/wp-content/uploads/2025/11/Aptify-logo.svg","","https://momentivesoftware.com/wp-content/uploads/2025/12/Aptify-Icon.svg","https://momentivesoftware.com/wp-content/uploads/2025/12/Aptify-Icon-White.svg","7","2026-02-27 13:39:21","2026-06-18 15:24:59"