_ID,solution_name,linked_solution_page,solution_type,solution_category,solution_family,solution_menu_description,solution_menu_order,solution_description,connected_products,solution_icon,solution_card_icon,main_image,main_image_object_fit,legacy_carousel_image,primary_color,css_class_prefix,dark_variant,light_variant,superlight_variant,enable_blog_hero_button_cta,blog_hero_button_cta_text,blog_hero_button_cta_url,blog_hero_cta_button_new_tab,enable_rc_solution_cta_with_image,rc_solution_cta_image,rc_solution_cta_title,rc_solution_cta_text,rc_solution_cta_button_text,rc_solution_cta_button_url,rc_solution_cta_button_new_tab,slider_index_name,slider_index_show_product_icons,slider_index_description,slider_index_list_items,slider_index_link_text,cct_author_id,cct_created,cct_modified
"19","Member Management Software","","parent","","","","0","","","","","","cover","","","member-mgmt","","","","false","","","false","false","","","","","","false","","false","","","","7","2026-05-13 15:56:15","2026-05-13 15:56:15"
"18","Accounting Software Implementation","4428","child","","2","Data migration, system configuration, testing and training with the help of your dedicated implementation team.","7","Data migration, system configuration, testing and training with the help of your dedicated implementation team.","Array","","box-bx-cog","https://momentivesoftware.com/wp-content/uploads/2025/09/accounting-implementation-hero.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Accounting Software Implementation","false","Data migration, system configuration, testing and training with the help of your dedicated implementation team.","","","7","2026-04-16 21:21:12","2026-05-13 15:53:06"
"17","Payroll and People Management","4421","child","","2","Put people first with an integrated system that simplifies payroll.  Empower your team and streamline your processes. ","6","Put people first with an integrated system that simplifies payroll.  Empower your team and streamline your processes. ","Array","","box-bx-group","https://momentivesoftware.com/wp-content/uploads/2025/09/finance-automation-2.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Payroll and People Management","false","Put people first with an integrated system that simplifies payroll.  Empower your team and streamline your processes.","","","7","2026-04-16 21:19:34","2026-05-13 15:53:09"
"16","Workflows, Automation, and Team Efficiency","4412","child","","2","Stop juggling manual tasks, freeing your team to focus on what  matters most.","5","Stop juggling manual tasks, freeing your team to focus on what  matters most.","Array","","box-bx-category","https://momentivesoftware.com/wp-content/uploads/2025/09/hr-hero-2-1.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Workflows, Automation, and Team Efficiency","false","Stop juggling manual tasks, freeing your team to focus on what  matters most.","","","7","2026-04-16 20:28:59","2026-05-13 15:53:12"
"15","Audit-ready Security and Compliance","4406","child","","2","Sleep soundly knowing your data is protected and your information is audit-ready.","4","Sleep soundly knowing your data is protected and your information is audit-ready.","Array","","box-bx-check-shield","https://momentivesoftware.com/wp-content/uploads/2025/09/audit-hero-2.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Audit-ready Security and Compliance","false","Sleep soundly knowing your data is protected and your information is audit-ready.","","","7","2026-04-16 20:27:38","2026-05-13 15:53:15"
"14","Reporting, Mission Intelligence & Insights","4397","child","","2","Unlock the power of your data giving you the insights you need to drive your mission forward.","3","Unlock the power of your data giving you the insights you need to drive your mission forward.","Array","","box-bx-line-chart","https://momentivesoftware.com/wp-content/uploads/2025/09/financialreporting-hero-2.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Reporting, Mission Intelligence & Insights","false","Unlock the power of your data giving you the insights you need to drive your mission forward.","","","7","2026-04-16 20:23:57","2026-05-13 15:53:18"
"13","Financial Management Operations","4385","child","","2","Everything you need to streamline and master your day-to-day finances.","2","Everything you need to streamline and master your day-to-day finances.","Array","","box-bx-money","https://momentivesoftware.com/wp-content/uploads/2025/09/financial-hero-2.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Financial Management Operations","false","Everything you need to streamline and master your day-to-day finances.","","","7","2026-04-16 20:19:33","2026-05-13 15:53:22"
"12","Budgeting and Forecasting Software","4375","child","","2","","1","Discover the essential accounting functions that power your organization.","Array","","box-bx-calculator","https://momentivesoftware.com/wp-content/uploads/2025/09/budget-hero.png","contain","","","accounting","","","","false","","","false","false","","","","","","false","Budgeting and Forecasting Software","false","Discover the essential accounting functions that power your organization.","","","7","2026-04-16 18:59:52","2026-05-13 15:53:26"
"11","Volunteer Management Software","6383","parent","88","","Boost volunteer engagement with top-tier management software.","9","","Array","sol-productvolunteer-management","","https://momentivesoftware.com/wp-content/uploads/2026/04/Volunteer-Management-Main-Image.png","contain","","#0cbca0","vol-mgmt","#0a9882","#d9f5f1","#edfaf8","false","","","false","false","","","","","","false","Volunteer Management","false","","Array","Explore","7","2026-03-30 14:25:22","2026-05-13 15:50:14"
"10","Learning Management","264","parent","15","","Deliver engaging, scalable learning programs and experiences.","5","","Array","sol-productlearning-management","","https://momentivesoftware.com/wp-content/uploads/2026/04/LMS-Main-Image.png","contain","","#43afbc","learn-mgmt","#24828d","#daf7fb","#e0f9f9","false","","","false","false","","","","","","false","Learning Management","false","","Array","Explore","7","2026-03-30 14:23:40","2026-04-24 17:39:33"
"9","Fundraising","265","parent","13","","Boost donor engagement and maximize fundraising success.","3","","Array","sol-fundraising-management","","https://momentivesoftware.com/wp-content/uploads/2026/04/Fundraising-Main-Image.png","contain","","#6a4ed8","fundraising","#5e45c1","#e1dbf9","#eae6fb","false","","","false","false","","","","","","false","Fundraising","false","","Array","Explore","7","2026-03-30 14:16:45","2026-04-24 17:39:09"
"8","Event Management","267","parent","14","","Simplify event planning and create unforgettable experiences.","4","","Array","sol-productevent--expo","","https://momentivesoftware.com/wp-content/uploads/2026/04/Event-Management-Main-Image.png","contain","","#f26522","event-mgmt","#cb4d26","#fdefeb","#fcf0ed","false","","","false","false","","","","","","false","Event Management","false","","Array","Explore","7","2026-03-30 14:14:06","2026-04-24 17:38:55"
"7","Donor Management Software","7582","parent","195","","Boost donor engagement and maximize fundraising success.","10","","Array","sol-productfundraising","","https://momentivesoftware.com/wp-content/uploads/2026/04/Donor-Management-Main-Image.png","contain","","#9b59b6","donor-mgmt","#8c4b9e","#ebddf0","#f0e8f7","false","","","false","false","","","","","","false","Donor Management","false","","Array","Explore","7","2026-03-30 14:12:04","2026-04-24 17:38:01"
"6","Data & Analytics","","parent","17","","","15","","Array","sol-productdata-analytics","","","contain","","#646b85","data-analytics","#646b85","#c7cde1","#edf0f9","false","","","false","false","","","","","","false","Data & Analytics","false","","","Explore","7","2026-03-30 14:09:39","2026-04-24 17:37:44"
"5","Certification Management","5309","parent","163","","Deliver scalable, compliant, and engaging certification programs.","7","","Array","sol-Certification-Management-2","","https://momentivesoftware.com/wp-content/uploads/2026/04/Certification-Management-Main-Image.png","contain","","#5281ba","crt-mgmt","#436999","#dfe8f3","#e3e8f2","false","","","false","false","","","","","","false","Certification Management","false","","Array","Explore","7","2026-03-30 14:07:13","2026-04-24 17:37:26"
"4","Career Center Software","6540","parent","16","","Delivering trusted career growth services that engage members and grow revenue.","8","","Array","sol-productcareer-services","","https://momentivesoftware.com/wp-content/uploads/2026/04/Careers-Main-Image.png","contain","","#d73f5d","careers","#d73f5d","#f3c5ce","#fbecef","false","","","false","false","","","","","","false","Careers","false","","Array","Explore","7","2026-03-30 14:04:38","2026-04-24 17:37:14"
"3","Association Management","6000","parent","12","","Streamline membership management with association management tools fit for you.","2","","Array","sol-productassociation-management","","https://momentivesoftware.com/wp-content/uploads/2026/04/AMS-Main-Image.png","contain","","#0078ff","assn-mgmt","#0078ff","#cce4ff","#edf6ff","false","","","false","false","","","","","","false","Association Management","false","","Array","Explore","7","2026-03-30 13:29:30","2026-04-24 17:36:50"
"2","Accounting","263","parent","18","","Simplify financial management and ensure compliance with MIP Accounting.","6","","Array","sol-productaccounting","","https://momentivesoftware.com/wp-content/uploads/2026/04/Accounting-Main-Image.png","contain","","#3ba3d8","accounting","#4aa6db","#cfecfc","#eff9fd","false","","","false","false","","","","","","false","Accounting","false","","Array","Explore","7","2026-03-30 13:28:20","2026-04-24 17:35:48"
"1","MomentiveIQ","7299","standalone","","","Automate workflows, personalize engagement, and gain predictive insights across your technology ecosystem.","0","","","sol-MomentiveIQ","","","cover","","#0078ff","ms","","","","false","","","false","false","","","","","","false","","false","","","","7","2026-03-30 13:27:20","2026-04-24 16:15:03"